,Cycle,Joint,Angle_x,Angle_y,Angle_z,Flex_Ext_Angle,subject,avg_flex
0,1.0,r_ankle,28.20562812824627,-2.0204736807860577,-3.3517172282876992,61.801225146119414,1,61.56921752484678
1,2.0,r_ankle,28.263864216515657,-2.0130629504469306,-3.3971272816854468,61.73616023472721,1,61.49488441005427
2,3.0,r_ankle,28.367907094293322,-2.004499137937124,-3.463082622199174,61.628641817280986,1,61.37547294874852
3,4.0,r_ankle,28.476975004758245,-2.0144818638603823,-3.5888216763670937,61.51957390681605,1,61.25310060046376
4,5.0,r_ankle,28.5970287346324,-2.059336221076998,-3.7887244285622406,61.402995716610455,1,61.11917161400241
5,6.0,r_ankle,28.718405651668412,-2.146450552610219,-4.058549827408373,61.28844762269727,1,60.98229911400858
6,7.0,r_ankle,28.835376926267873,-2.267118125522986,-4.369188668723414,61.16464752497499,1,60.83736989842292
7,8.0,r_ankle,28.95177344031135,-2.4064487004262225,-4.688346307614645,61.04477547126293,1,60.69280545028704
8,9.0,r_ankle,29.071485060858667,-2.5501237354116,-4.992716186815398,60.92506385071562,1,60.54465028004053
9,10.0,r_ankle,29.195845336985577,-2.6871346988849543,-5.275656604318591,60.80417911425729,1,60.38906915820373
10,11.0,r_ankle,29.324784748251613,-2.804933472669,-5.536399458216297,60.68206852611407,1,60.225986648910684
11,12.0,r_ankle,29.448536203760835,-2.887759860567307,-5.7684471246017335,60.55148824748204,1,60.05294629981387
12,13.0,r_ankle,29.56801702617874,-2.923111274189553,-5.9624347152095,60.428531885395564,1,59.88317274580362
13,14.0,r_ankle,29.68161999292491,-2.9088538313141368,-6.114980220528562,60.314928918649386,1,59.718807403541206
14,15.0,r_ankle,29.793632377203515,-2.8598258937622196,-6.237759474388852,60.20639207403933,1,59.55608835342655
15,16.0,r_ankle,29.912602186290236,-2.8047840745312858,-6.3509468944355705,60.09425108807547,1,59.389238599330454
16,17.0,r_ankle,30.040647192102607,-2.7707207357261616,-6.4673235369188715,59.95937725914025,1,59.20947919486474
17,18.0,r_ankle,30.18574542419457,-2.768588894132465,-6.586204347418864,59.81080348737973,1,59.02503885326942
18,19.0,r_ankle,30.343658689688617,-2.791257193076203,-6.695890838267892,59.65289022188567,1,58.83894102630309
19,20.0,r_ankle,30.505917057733857,-2.8238923183283973,-6.7880355027632655,59.49410739350898,1,58.65499308341185
20,21.0,r_ankle,30.663112764779942,-2.85164083674691,-6.861822288329845,59.34374050958575,1,58.474503369970094
21,22.0,r_ankle,30.801700990771703,-2.862254217867281,-6.914993844293935,59.198323460471144,1,58.297010236836655
22,23.0,r_ankle,30.92291594262651,-2.8509142413216364,-6.941607231631544,59.07363296894779,1,58.133701270220044
23,24.0,r_ankle,31.02640825541165,-2.821804967322548,-6.932969086440459,58.970140656162656,1,57.98946035115586
24,25.0,r_ankle,31.11502415858305,-2.7858668054776894,-6.887966877899387,58.885000292659804,1,57.86841593754255
25,26.0,r_ankle,31.19242852447014,-2.75179207345362,-6.818698354524467,58.814424749895565,1,57.771325209340816
26,27.0,r_ankle,31.254591079576624,-2.718551579389737,-6.745690018606574,58.745433371666245,1,57.6920397611022
27,28.0,r_ankle,31.305307905913356,-2.679769564876553,-6.691026543485592,58.69124100566094,1,57.63248346043242
28,29.0,r_ankle,31.339622321499256,-2.63128981515008,-6.665959513952598,58.656926590075024,1,57.59153182729111
29,30.0,r_ankle,31.352218789511074,-2.5764598617623,-6.672258672090998,58.64780566173177,1,57.57030315232207
30,31.0,r_ankle,31.340512233722585,-2.522713922387026,-6.705892929661634,58.66634104064311,1,57.57440185137919
31,32.0,r_ankle,31.300316170618892,-2.4761341375674704,-6.756452457153775,58.699708280623966,1,57.602394314035344
32,33.0,r_ankle,31.241793665461046,-2.4415932427990543,-6.810562878818629,58.754755246113234,1,57.65803807313172
33,34.0,r_ankle,31.169479706064404,-2.421889510734021,-6.852286331882331,58.82706920550989,1,57.73578958407241
34,35.0,r_ankle,31.086223773697604,-2.420188736487817,-6.875503036580803,58.913800677545254,1,57.82681596039574
35,36.0,r_ankle,30.993408509088116,-2.4392888097124046,-6.890900524873168,59.0134447652776,1,57.92756659549778
36,37.0,r_ankle,30.88608948644986,-2.4735301548992097,-6.9156442012049295,59.113934964793,1,58.03393077577844
37,38.0,r_ankle,30.76980998422901,-2.5026802779567183,-6.956815779300771,59.226738927345295,1,58.1574455238322
38,39.0,r_ankle,30.642411878694226,-2.4967675951237895,-6.9958465011504005,59.35413703288006,1,58.30181528690497
39,40.0,r_ankle,30.498430038245353,-2.438736558204542,-6.998839559534416,59.50159441299749,1,58.4691313119595
40,41.0,r_ankle,30.329454174148093,-2.3459570279562953,-6.941619233996437,59.677399100217585,1,58.661827681222235
41,42.0,r_ankle,30.121920727150908,-2.2682945708926354,-6.829012374794946,59.878103724091936,1,58.87658998945998
42,43.0,r_ankle,29.878909900788702,-2.2549315081581742,-6.693915523748673,60.1176390107856,1,59.123065759425884
43,44.0,r_ankle,29.607235376768266,-2.3086770373200602,-6.570978124382581,60.389313534806,1,59.3990764611074
44,45.0,r_ankle,29.32173289496338,-2.377647575432926,-6.485952018553818,60.67829155627947,1,59.69806503192281
45,46.0,r_ankle,29.038094415649304,-2.396854720046458,-6.459220111588002,60.968758858716384,1,60.00873714554507
46,47.0,r_ankle,28.758449869023952,-2.340960288114159,-6.5038799611470415,61.2415745822189,1,60.31657537087453
47,48.0,r_ankle,28.482603584565783,-2.242836242782908,-6.616872827560271,61.513945327008486,1,60.62593866904403
48,49.0,r_ankle,28.195051989319946,-2.1638020658559878,-6.7653964692030994,61.801496922254366,1,60.94355468208306
49,50.0,r_ankle,27.87939607394876,-2.1465900001667366,-6.898042215379249,62.1206283772941,1,61.27988199713141
50,51.0,r_ankle,27.52776154051193,-2.1855338715232273,-6.9700265354935524,62.479091733853764,1,61.64076426744999
